voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,10.08,4.6359,1660.5
-75.0,10.08,4.6359,2205.6
-70.0,10.08,4.6359,2063.9
-65.0,10.08,4.6359,1766.1
-60.0,10.08,4.6359,1841.9
-55.0,10.08,4.6359,1671.3
-50.0,10.08,4.6359,1611.1
-45.0,10.08,4.6359,1838.5
-40.0,10.08,4.6359,1815.7
-35.0,10.08,4.6359,1578.7
-30.0,10.08,4.6359,1835.2
-25.0,10.08,4.6359,1778.3
-20.0,10.08,4.6359,1713.3
-15.0,10.08,4.6359,1759.9
-10.0,10.08,4.6359,1819.0
-5.0,10.08,4.6359,1787.6
0.0,10.08,4.6359,1663.2
5.0,10.08,4.6359,1676.8
10.0,10.08,4.6359,2182.3
15.0,10.08,4.6359,1872.5
20.0,10.08,4.6359,1906.8
25.0,10.08,4.6359,1865.4
30.0,10.08,4.6359,1858.4
35.0,10.08,4.6359,2220.0
