voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,9.8458,5.2691,1862.3
-75.0,9.8458,5.2691,1906.7
-70.0,9.8458,5.2691,2047.6
-65.0,9.8458,5.2691,1868.8
-60.0,9.8458,5.2691,2115.1
-55.0,9.8458,5.2691,1855.4
-50.0,9.8458,5.2691,1650.0
-45.0,9.8458,5.2691,1815.7
-40.0,9.8458,5.2691,1676.8
-35.0,9.8458,5.2691,1763.2
-30.0,9.8458,5.2691,2102.0
-25.0,9.8458,5.2691,2097.7
-20.0,9.8458,5.2691,2076.4
-15.0,9.8458,5.2691,2168.3
-10.0,9.8458,5.2691,1907.0
-5.0,9.8458,5.2691,1716.0
0.0,9.8458,5.2691,1707.6
5.0,9.8458,5.2691,1715.9
10.0,9.8458,5.2691,1889.6
15.0,9.8458,5.2691,1842.0
20.0,9.8458,5.2691,1906.9
25.0,9.8458,5.2691,1690.5
30.0,9.8458,5.2691,1747.9
35.0,9.8458,5.2691,1756.9
