voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,10.005999999999998,4.1545,1476.9
-75.0,10.005999999999998,4.1545,1468.3
-70.0,10.005999999999998,4.1545,1547.7
-65.0,10.005999999999998,4.1545,1665.9
-60.0,10.005999999999998,4.1545,1307.5
-55.0,10.005999999999998,4.1545,1462.0
-50.0,10.005999999999998,4.1545,1453.8
-45.0,10.005999999999998,4.1545,1435.5
-40.0,10.005999999999998,4.1545,1372.3
-35.0,10.005999999999998,4.1545,1676.7
-30.0,10.005999999999998,4.1545,1543.4
-25.0,10.005999999999998,4.1545,1331.3
-20.0,10.005999999999998,4.1545,1522.9
-15.0,10.005999999999998,4.1545,1345.1
-10.0,10.005999999999998,4.1545,1538.8
-5.0,10.005999999999998,4.1545,1376.0
0.0,10.005999999999998,4.1545,1265.9
5.0,10.005999999999998,4.1545,1536.4
10.0,10.005999999999998,4.1545,1559.7
15.0,10.005999999999998,4.1545,1423.7
20.0,10.005999999999998,4.1545,1649.9
25.0,10.005999999999998,4.1545,1513.8
30.0,10.005999999999998,4.1545,1515.6
35.0,10.005999999999998,4.1545,1704.5
