voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,10.025,4.621,2003.5
-75.0,10.025,4.621,1778.3
-70.0,10.025,4.621,1696.2
-65.0,10.025,4.621,1799.8
-60.0,10.025,4.621,1965.4
-55.0,10.025,4.621,1917.6
-50.0,10.025,4.621,1914.1
-45.0,10.025,4.621,2031.1
-40.0,10.025,4.621,1928.1
-35.0,10.025,4.621,1924.7
-30.0,10.025,4.621,1718.7
-25.0,10.025,4.621,1715.9
-20.0,10.025,4.621,1489.5
-15.0,10.025,4.621,1845.3
-10.0,10.025,4.621,2051.5
-5.0,10.025,4.621,1976.5
0.0,10.025,4.621,1825.4
5.0,10.025,4.621,1910.3
10.0,10.025,4.621,1851.7
15.0,10.025,4.621,1855.4
20.0,10.025,4.621,1682.2
25.0,10.025,4.621,1848.4
30.0,10.025,4.621,2284.1
35.0,10.025,4.621,1621.2
