voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,10.154,3.9895,1583.7
-75.0,10.154,3.9895,1838.7
-70.0,10.154,3.9895,1326.2
-65.0,10.154,3.9895,1596.0
-60.0,10.154,3.9895,1417.6
-55.0,10.154,3.9895,1366.6
-50.0,10.154,3.9895,1286.4
-45.0,10.154,3.9895,1598.6
-40.0,10.154,3.9895,1474.6
-35.0,10.154,3.9895,1431.3
-30.0,10.154,3.9895,1538.7
-25.0,10.154,3.9895,1552.8
-20.0,10.154,3.9895,1618.7
-15.0,10.154,3.9895,1478.9
-10.0,10.154,3.9895,1525.1
-5.0,10.154,3.9895,1493.9
0.0,10.154,3.9895,1417.6
5.0,10.154,3.9895,1610.8
10.0,10.154,3.9895,1415.6
15.0,10.154,3.9895,1370.4
20.0,10.154,3.9895,1489.6
25.0,10.154,3.9895,1457.7
30.0,10.154,3.9895,1435.5
35.0,10.154,3.9895,1392.8
