voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,10.08,4.5148,2035.5
-75.0,10.08,4.5148,1793.8
-70.0,10.08,4.5148,1988.2
-65.0,10.08,4.5148,2088.9
-60.0,10.08,4.5148,1639.2
-55.0,10.08,4.5148,1832.2
-50.0,10.08,4.5148,1668.5
-45.0,10.08,4.5148,1899.8
-40.0,10.08,4.5148,1862.0
-35.0,10.08,4.5148,1812.8
-30.0,10.08,4.5148,1494.0
-25.0,10.08,4.5148,1710.2
-20.0,10.08,4.5148,1762.9
-15.0,10.08,4.5148,1800.2
-10.0,10.08,4.5148,1588.4
-5.0,10.08,4.5148,1693.3
0.0,10.08,4.5148,1674.1
5.0,10.08,4.5148,1727.4
10.0,10.08,4.5148,1730.4
15.0,10.08,4.5148,1816.0
20.0,10.08,4.5148,1739.2
25.0,10.08,4.5148,1942.9
30.0,10.08,4.5148,1950.1
35.0,10.08,4.5148,2379.0
