voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,10.08,4.6014,1772.1
-75.0,10.08,4.6014,1754.0
-70.0,10.08,4.6014,2068.2
-65.0,10.08,4.6014,1588.4
-60.0,10.08,4.6014,2288.9
-55.0,10.08,4.6014,2007.4
-50.0,10.08,4.6014,1984.3
-45.0,10.08,4.6014,1493.9
-40.0,10.08,4.6014,1736.3
-35.0,10.08,4.6014,1513.8
-30.0,10.08,4.6014,1892.7
-25.0,10.08,4.6014,1668.7
-20.0,10.08,4.6014,2220.0
-15.0,10.08,4.6014,1631.4
-10.0,10.08,4.6014,1772.1
-5.0,10.08,4.6014,1668.6
0.0,10.08,4.6014,1822.3
5.0,10.08,4.6014,1588.5
10.0,10.08,4.6014,1621.0
15.0,10.08,4.6014,1775.0
20.0,10.08,4.6014,1698.9
25.0,10.08,4.6014,1812.8
30.0,10.08,4.6014,1628.9
35.0,10.08,4.6014,1698.8
