voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,10.190999999999999,4.0877,1449.8
-75.0,10.190999999999999,4.0877,1478.9
-70.0,10.190999999999999,4.0877,1445.6
-65.0,10.190999999999999,4.0877,1679.4
-60.0,10.190999999999999,4.0877,1674.0
-55.0,10.190999999999999,4.0877,1586.2
-50.0,10.190999999999999,4.0877,1267.4
-45.0,10.190999999999999,4.0877,1745.0
-40.0,10.190999999999999,4.0877,1590.9
-35.0,10.190999999999999,4.0877,1571.7
-30.0,10.190999999999999,4.0877,1634.2
-25.0,10.190999999999999,4.0877,1613.4
-20.0,10.190999999999999,4.0877,1355.9
-15.0,10.190999999999999,4.0877,1400.2
-10.0,10.190999999999999,4.0877,1593.5
-5.0,10.190999999999999,4.0877,1502.5
0.0,10.190999999999999,4.0877,1601.0
5.0,10.190999999999999,4.0877,1527.1
10.0,10.190999999999999,4.0877,1343.6
15.0,10.190999999999999,4.0877,1423.6
20.0,10.190999999999999,4.0877,1392.5
25.0,10.190999999999999,4.0877,1516.1
30.0,10.190999999999999,4.0877,1525.0
35.0,10.190999999999999,4.0877,1498.2
