voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,10.08,4.5148,1769.0
-75.0,10.08,4.5148,1845.4
-70.0,10.08,4.5148,1910.5
-65.0,10.08,4.5148,2023.7
-60.0,10.08,4.5148,2429.6
-55.0,10.08,4.5148,1787.7
-50.0,10.08,4.5148,1961.2
-45.0,10.08,4.5148,1914.3
-40.0,10.08,4.5148,2072.3
-35.0,10.08,4.5148,2150.2
-30.0,10.08,4.5148,1707.2
-25.0,10.08,4.5148,2219.9
-20.0,10.08,4.5148,1900.0
-15.0,10.08,4.5148,1698.9
-10.0,10.08,4.5148,1946.8
-5.0,10.08,4.5148,1579.0
0.0,10.08,4.5148,1790.5
5.0,10.08,4.5148,1822.4
10.0,10.08,4.5148,1634.1
15.0,10.08,4.5148,1879.0
20.0,10.08,4.5148,1522.8
25.0,10.08,4.5148,1781.3
30.0,10.08,4.5148,1671.3
35.0,10.08,4.5148,1433.5
