voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,10.061000000000002,4.4179,1889.4
-75.0,10.061000000000002,4.4179,1626.4
-70.0,10.061000000000002,4.4179,1774.8
-65.0,10.061000000000002,4.4179,1736.3
-60.0,10.061000000000002,4.4179,1727.6
-55.0,10.061000000000002,4.4179,1704.3
-50.0,10.061000000000002,4.4179,1671.4
-45.0,10.061000000000002,4.4179,1583.7
-40.0,10.061000000000002,4.4179,1564.3
-35.0,10.061000000000002,4.4179,1611.2
-30.0,10.061000000000002,4.4179,1636.5
-25.0,10.061000000000002,4.4179,1474.6
-20.0,10.061000000000002,4.4179,2273.7
-15.0,10.061000000000002,4.4179,1483.2
-10.0,10.061000000000002,4.4179,1663.0
-5.0,10.061000000000002,4.4179,1748.1
0.0,10.061000000000002,4.4179,1453.9
5.0,10.061000000000002,4.4179,1375.9
10.0,10.061000000000002,4.4179,1415.6
15.0,10.061000000000002,4.4179,1518.1
20.0,10.061000000000002,4.4179,1735.9
25.0,10.061000000000002,4.4179,1621.3
30.0,10.061000000000002,4.4179,1545.9
35.0,10.061000000000002,4.4179,1487.6
