voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,16.128,5.0205,3856.1
-75.0,16.128,5.0205,4998.2
-70.0,16.128,5.0205,4856.6
-65.0,16.128,5.0205,9445.2
-60.0,16.128,5.0205,4202.5
-55.0,16.128,5.0205,8507.3
-50.0,16.128,5.0205,10612.0
-45.0,16.128,5.0205,6818.5
-40.0,16.128,5.0205,7199.5
-35.0,16.128,5.0205,7354.8
-30.0,16.128,5.0205,5281.0
-25.0,16.128,5.0205,4536.6
-20.0,16.128,5.0205,6129.5
-15.0,16.128,5.0205,3386.5
-10.0,16.128,5.0205,4437.2
-5.0,16.128,5.0205,4220.0
0.0,16.128,5.0205,3717.6
5.0,16.128,5.0205,3729.9
10.0,16.128,5.0205,10614.0
15.0,16.128,5.0205,13546.0
20.0,16.128,5.0205,5595.4
25.0,16.128,5.0205,6092.4
30.0,16.128,5.0205,4495.9
35.0,16.128,5.0205,8801.5
