voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,15.509,4.4456,1957.8
-75.0,15.509,4.4456,1781.3
-70.0,15.509,4.4456,1964.9
-65.0,15.509,4.4456,1593.9
-60.0,15.509,4.4456,2278.1
-55.0,15.509,4.4456,1591.5
-50.0,15.509,4.4456,1999.3
-45.0,15.509,4.4456,1690.6
-40.0,15.509,4.4456,2334.8
-35.0,15.509,4.4456,2042.9
-30.0,15.509,4.4456,2075.5
-25.0,15.509,4.4456,2324.4
-20.0,15.509,4.4456,3278.6
-15.0,15.509,4.4456,2329.6
-10.0,15.509,4.4456,2493.4
-5.0,15.509,4.4456,1865.3
0.0,15.509,4.4456,2688.5
5.0,15.509,4.4456,2738.5
10.0,15.509,4.4456,2377.5
15.0,15.509,4.4456,3158.1
20.0,15.509,4.4456,2836.5
25.0,15.509,4.4456,2876.3
30.0,15.509,4.4456,2900.3
35.0,15.509,4.4456,2667.5
