voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,15.189000000000002,4.7867,4053.2
-75.0,15.189000000000002,4.7867,6240.6
-70.0,15.189000000000002,4.7867,5687.9
-65.0,15.189000000000002,4.7867,8508.9
-60.0,15.189000000000002,4.7867,10726.0
-55.0,15.189000000000002,4.7867,9713.5
-50.0,15.189000000000002,4.7867,8371.8
-45.0,15.189000000000002,4.7867,42905.0
-40.0,15.189000000000002,4.7867,16089.0
-35.0,15.189000000000002,4.7867,9360.3
-30.0,15.189000000000002,4.7867,11568.0
-25.0,15.189000000000002,4.7867,11193.0
-20.0,15.189000000000002,4.7867,5720.4
-15.0,15.189000000000002,4.7867,4788.9
-10.0,15.189000000000002,4.7867,13201.0
-5.0,15.189000000000002,4.7867,3915.0
0.0,15.189000000000002,4.7867,6863.9
5.0,15.189000000000002,4.7867,7051.2
10.0,15.189000000000002,4.7867,8875.4
15.0,15.189000000000002,4.7867,5307.6
20.0,15.189000000000002,4.7867,9902.1
25.0,15.189000000000002,4.7867,11440.0
30.0,15.189000000000002,4.7867,16089.0
35.0,15.189000000000002,4.7867,9623.1
