voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,15.606,4.4798,4617.6
-75.0,15.606,4.4798,9446.0
-70.0,15.606,4.4798,3900.0
-65.0,15.606,4.4798,6057.4
-60.0,15.606,4.4798,4659.2
-55.0,15.606,4.4798,5951.3
-50.0,15.606,4.4798,3257.9
-45.0,15.606,4.4798,4343.3
-40.0,15.606,4.4798,4151.3
-35.0,15.606,4.4798,4290.7
-30.0,15.606,4.4798,2730.8
-25.0,15.606,4.4798,10195.0
-20.0,15.606,4.4798,6558.4
-15.0,15.606,4.4798,3158.3
-10.0,15.606,4.4798,4272.6
-5.0,15.606,4.4798,3299.8
0.0,15.606,4.4798,3237.6
5.0,15.606,4.4798,4344.5
10.0,15.606,4.4798,4134.6
15.0,15.606,4.4798,4744.7
20.0,15.606,4.4798,4902.7
25.0,15.606,4.4798,3217.2
30.0,15.606,4.4798,6686.4
35.0,15.606,4.4798,2646.6
