voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,15.024999999999999,4.6903,7980.5
-75.0,15.024999999999999,4.6903,4926.0
-70.0,15.024999999999999,4.6903,6475.2
-65.0,15.024999999999999,4.6903,6600.9
-60.0,15.024999999999999,4.6903,3409.6
-55.0,15.024999999999999,4.6903,4325.9
-50.0,15.024999999999999,4.6903,5476.0
-45.0,15.024999999999999,4.6903,4679.6
-40.0,15.024999999999999,4.6903,9275.4
-35.0,15.024999999999999,4.6903,4811.5
-30.0,15.024999999999999,4.6903,6728.4
-25.0,15.024999999999999,4.6903,9447.3
-20.0,15.024999999999999,4.6903,5505.6
-15.0,15.024999999999999,4.6903,5817.2
-10.0,15.024999999999999,4.6903,5476.5
-5.0,15.024999999999999,4.6903,5253.3
0.0,15.024999999999999,4.6903,7053.1
5.0,15.024999999999999,4.6903,5046.7
10.0,15.024999999999999,4.6903,4038.2
15.0,15.024999999999999,4.6903,5173.5
20.0,15.024999999999999,4.6903,5417.8
25.0,15.024999999999999,4.6903,3331.2
30.0,15.024999999999999,4.6903,4879.1
35.0,15.024999999999999,4.6903,5361.2
