voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,15.169999999999998,4.6903,7514.7
-75.0,15.169999999999998,4.6903,4926.9
-70.0,15.169999999999998,4.6903,7150.2
-65.0,15.169999999999998,4.6903,11972.0
-60.0,15.169999999999998,4.6903,7860.1
-55.0,15.169999999999998,4.6903,6092.1
-50.0,15.169999999999998,4.6903,6864.1
-45.0,15.169999999999998,4.6903,5851.2
-40.0,15.169999999999998,4.6903,8370.8
-35.0,15.169999999999998,4.6903,9358.6
-30.0,15.169999999999998,4.6903,6316.8
-25.0,15.169999999999998,4.6903,7407.0
-20.0,15.169999999999998,4.6903,6863.5
-15.0,15.169999999999998,4.6903,3716.9
-10.0,15.169999999999998,4.6903,3771.4
-5.0,15.169999999999998,4.6903,5419.4
0.0,15.169999999999998,4.6903,6909.9
5.0,15.169999999999998,4.6903,4950.0
10.0,15.169999999999998,4.6903,4069.2
15.0,15.169999999999998,4.6903,5688.2
20.0,15.169999999999998,4.6903,6239.7
25.0,15.169999999999998,4.6903,3028.4
30.0,15.169999999999998,4.6903,5071.8
35.0,15.169999999999998,4.6903,6864.3
