voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,15.802999999999999,6.1627,1579.1
-75.0,15.802999999999999,6.1627,1693.2
-70.0,15.802999999999999,6.1627,1848.7
-65.0,15.802999999999999,6.1627,1736.1
-60.0,15.802999999999999,6.1627,2186.0
-55.0,15.802999999999999,6.1627,1868.5
-50.0,15.802999999999999,6.1627,1450.2
-45.0,15.802999999999999,6.1627,1649.9
-40.0,15.802999999999999,6.1627,1538.9
-35.0,15.802999999999999,6.1627,1632.0
-30.0,15.802999999999999,6.1627,1234.4
-25.0,15.802999999999999,6.1627,1512.1
-20.0,15.802999999999999,6.1627,1460.2
-15.0,15.802999999999999,6.1627,1536.7
-10.0,15.802999999999999,6.1627,1724.4
-5.0,15.802999999999999,6.1627,1621.3
0.0,15.802999999999999,6.1627,1450.3
5.0,15.802999999999999,6.1627,1502.9
10.0,15.802999999999999,6.1627,1572.0
15.0,15.802999999999999,6.1627,1240.4
20.0,15.802999999999999,6.1627,1110.6
25.0,15.802999999999999,6.1627,1168.8
30.0,15.802999999999999,6.1627,1347.5
35.0,15.802999999999999,6.1627,1218.6
