voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,16.066,5.9731,1424.1
-75.0,16.066,5.9731,1492.1
-70.0,16.066,5.9731,1427.9
-65.0,16.066,5.9731,1165.9
-60.0,16.066,5.9731,1172.6
-55.0,16.066,5.9731,1204.5
-50.0,16.066,5.9731,1274.3
-45.0,16.066,5.9731,1271.1
-40.0,16.066,5.9731,1613.5
-35.0,16.066,5.9731,1496.5
-30.0,16.066,5.9731,1500.9
-25.0,16.066,5.9731,1328.4
-20.0,16.066,5.9731,1494.3
-15.0,16.066,5.9731,1383.5
-10.0,16.066,5.9731,1479.5
-5.0,16.066,5.9731,1420.2
0.0,16.066,5.9731,1529.8
5.0,16.066,5.9731,1742.0
10.0,16.066,5.9731,1466.5
15.0,16.066,5.9731,1345.7
20.0,16.066,5.9731,1512.0
25.0,16.066,5.9731,1168.6
30.0,16.066,5.9731,1217.1
35.0,16.066,5.9731,1255.5
