voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,15.432,6.1519,1766.1
-75.0,15.432,6.1519,1589.1
-70.0,15.432,6.1519,1494.3
-65.0,15.432,6.1519,2428.3
-60.0,15.432,6.1519,1838.4
-55.0,15.432,6.1519,1572.0
-50.0,15.432,6.1519,1639.4
-45.0,15.432,6.1519,1553.0
-40.0,15.432,6.1519,1835.4
-35.0,15.432,6.1519,1832.2
-30.0,15.432,6.1519,1924.5
-25.0,15.432,6.1519,1663.5
-20.0,15.432,6.1519,1577.0
-15.0,15.432,6.1519,1931.9
-10.0,15.432,6.1519,1671.3
-5.0,15.432,6.1519,2172.0
0.0,15.432,6.1519,1913.8
5.0,15.432,6.1519,1460.4
10.0,15.432,6.1519,1574.3
15.0,15.432,6.1519,1942.5
20.0,15.432,6.1519,1687.8
25.0,15.432,6.1519,1999.4
30.0,15.432,6.1519,1529.6
35.0,15.432,6.1519,2190.8
