voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,16.296,5.7948,8800.3
-75.0,16.296,5.7948,28597.0
-70.0,16.296,5.7948,85798.0
-65.0,16.296,5.7948,33206.0
-60.0,16.296,5.7948,93601.0
-55.0,16.296,5.7948,114390.0
-50.0,16.296,5.7948,25112.0
-45.0,16.296,5.7948,41186.0
-40.0,16.296,5.7948,102960.0
-35.0,16.296,5.7948,64349.0
-30.0,16.296,5.7948,64349.0
-25.0,16.296,5.7948,171590.0
-20.0,16.296,5.7948,60562.0
-15.0,16.296,5.7948,11569.0
-10.0,16.296,5.7948,68650.0
-5.0,16.296,5.7948,68650.0
0.0,16.296,5.7948,79193.0
5.0,16.296,5.7948,4973.5
10.0,16.296,5.7948,57200.0
15.0,16.296,5.7948,9276.1
20.0,16.296,5.7948,9276.1
25.0,16.296,5.7948,51481.0
30.0,16.296,5.7948,18058.0
35.0,16.296,5.7948,17159.0
