voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,16.233,5.9629,51485.0
-75.0,16.233,5.9629,51485.0
-70.0,16.233,5.9629,49026.0
-65.0,16.233,5.9629,9623.9
-60.0,16.233,5.9629,9805.4
-55.0,16.233,5.9629,9805.4
-50.0,16.233,5.9629,10193.0
-45.0,16.233,5.9629,38135.0
-40.0,16.233,5.9629,30280.0
-35.0,16.233,5.9629,30280.0
-30.0,16.233,5.9629,57197.0
-25.0,16.233,5.9629,5072.0
-20.0,16.233,5.9629,5720.7
-15.0,16.233,5.9629,21904.0
-10.0,16.233,5.9629,57203.0
-5.0,16.233,5.9629,11834.0
0.0,16.233,5.9629,73542.0
5.0,16.233,5.9629,42904.0
10.0,16.233,5.9629,42904.0
15.0,16.233,5.9629,147060.0
20.0,16.233,5.9629,5688.5
25.0,16.233,5.9629,13727.0
30.0,16.233,5.9629,79198.0
35.0,16.233,5.9629,8370.3
