voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,15.207000000000003,6.5682,2063.2
-75.0,15.207000000000003,6.5682,2030.8
-70.0,15.207000000000003,6.5682,2007.4
-65.0,15.207000000000003,6.5682,1917.3
-60.0,15.207000000000003,6.5682,1803.0
-55.0,15.207000000000003,6.5682,1733.5
-50.0,15.207000000000003,6.5682,2272.8
-45.0,15.207000000000003,6.5682,1718.8
-40.0,15.207000000000003,6.5682,1474.9
-35.0,15.207000000000003,6.5682,1382.1
-30.0,15.207000000000003,6.5682,1710.2
-25.0,15.207000000000003,6.5682,1393.5
-20.0,15.207000000000003,6.5682,1422.4
-15.0,15.207000000000003,6.5682,1370.9
-10.0,15.207000000000003,6.5682,1775.0
-5.0,15.207000000000003,6.5682,1200.0
0.0,15.207000000000003,6.5682,1328.3
5.0,15.207000000000003,6.5682,1274.1
10.0,15.207000000000003,6.5682,1333.8
15.0,15.207000000000003,6.5682,1132.6
20.0,15.207000000000003,6.5682,1462.4
25.0,15.207000000000003,6.5682,1220.1
30.0,15.207000000000003,6.5682,1195.8
35.0,15.207000000000003,6.5682,1197.0
