voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,16.274999999999995,5.8826,1682.1
-75.0,16.274999999999995,5.8826,2007.0
-70.0,16.274999999999995,5.8826,1736.3
-65.0,16.274999999999995,5.8826,1748.1
-60.0,16.274999999999995,5.8826,1631.8
-55.0,16.274999999999995,5.8826,1722.2
-50.0,16.274999999999995,5.8826,1660.7
-45.0,16.274999999999995,5.8826,2123.3
-40.0,16.274999999999995,5.8826,1679.8
-35.0,16.274999999999995,5.8826,1468.7
-30.0,16.274999999999995,5.8826,1337.1
-25.0,16.274999999999995,5.8826,1546.1
-20.0,16.274999999999995,5.8826,1631.8
-15.0,16.274999999999995,5.8826,1591.2
-10.0,16.274999999999995,5.8826,1790.6
-5.0,16.274999999999995,5.8826,1781.4
0.0,16.274999999999995,5.8826,1601.4
5.0,16.274999999999995,5.8826,1527.6
10.0,16.274999999999995,5.8826,1928.0
15.0,16.274999999999995,5.8826,1910.3
20.0,16.274999999999995,5.8826,1623.9
25.0,16.274999999999995,5.8826,1875.7
30.0,16.274999999999995,5.8826,1816.0
35.0,16.274999999999995,5.8826,1917.2
