voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,16.128,5.8238,39602.0
-75.0,16.128,5.8238,39602.0
-70.0,16.128,5.8238,39602.0
-65.0,16.128,5.8238,39602.0
-60.0,16.128,5.8238,39602.0
-55.0,16.128,5.8238,39602.0
-50.0,16.128,5.8238,39602.0
-45.0,16.128,5.8238,39602.0
-40.0,16.128,5.8238,39602.0
-35.0,16.128,5.8238,39602.0
-30.0,16.128,5.8238,46801.0
-25.0,16.128,5.8238,46801.0
-20.0,16.128,5.8238,14299.0
-15.0,16.128,5.8238,14299.0
-10.0,16.128,5.8238,14299.0
-5.0,16.128,5.8238,14299.0
0.0,16.128,5.8238,14299.0
5.0,16.128,5.8238,14299.0
10.0,16.128,5.8238,14299.0
15.0,16.128,5.8238,14299.0
20.0,16.128,5.8238,14299.0
25.0,16.128,5.8238,14299.0
30.0,16.128,5.8238,14299.0
35.0,16.128,5.8238,14299.0
