mod_5_0.002,mod_5_0.0045000000000000005,mod_5_0.007,mod_5_0.0095,mod_5_0.012,mod_6_0.002,mod_6_0.0045000000000000005,mod_6_0.007,mod_6_0.0095,mod_6_0.012,mod_7_0.002,mod_7_0.0045000000000000005,mod_7_0.007,mod_7_0.0095,mod_7_0.012,mod_8_0.002,mod_8_0.0045000000000000005,mod_8_0.007,mod_8_0.0095,mod_8_0.012,mod_9_0.002,mod_9_0.0045000000000000005,mod_9_0.007,mod_9_0.0095,mod_9_0.012,mod_10_0.002,mod_10_0.0045000000000000005,mod_10_0.007,mod_10_0.0095,mod_10_0.012,mod_11_0.002,mod_11_0.0045000000000000005,mod_11_0.007,mod_11_0.0095,mod_11_0.012,mod_12_0.002,mod_12_0.0045000000000000005,mod_12_0.007,mod_12_0.0095,mod_12_0.012,mod_13_0.002,mod_13_0.0045000000000000005,mod_13_0.007,mod_13_0.0095,mod_13_0.012,mod_14_0.002,mod_14_0.0045000000000000005,mod_14_0.007,mod_14_0.0095,mod_14_0.012,mod_15_0.002,mod_15_0.0045000000000000005,mod_15_0.007,mod_15_0.0095,mod_15_0.012,mod_16_0.002,mod_16_0.0045000000000000005,mod_16_0.007,mod_16_0.0095,mod_16_0.012,mod_17_0.002,mod_17_0.0045000000000000005,mod_17_0.007,mod_17_0.0095,mod_17_0.012,mod_18_0.002,mod_18_0.0045000000000000005,mod_18_0.007,mod_18_0.0095,mod_18_0.012,mod_19_0.002,mod_19_0.0045000000000000005,mod_19_0.007,mod_19_0.0095,mod_19_0.012
-18.606226169317814,-18.430606907237788,-17.843964413177268,-19.355325274423183,-18.742023582527086,-15.748729422060634,-15.151719022742569,-16.21328543294181,-14.997702903286692,-15.188222711397477,-13.728601551226816,-13.836217436837526,-13.643277587164105,-13.057352513403938,-13.039629640672555,-11.717944746161496,-11.4316351273986,-12.10472041987151,-11.506035986696759,-11.717611209967774,-10.414599196002765,-10.04990977322391,-11.367812441444455,-9.87513281709912,-21.98361339246356,-9.301696590262308,-9.488369821290865,-9.409855544276075,-10.013865851357203,-14.544213726926994,-7.741982613095037,-8.532920551813845,-8.403600234113062,-15.002847197415868,-16.437020076054434,-6.989433334856248,-6.840751261745614,-7.3812529684437145,-17.343714579785384,-14.874132808708028,-7.306489940532658,-7.796185913582553,-6.989219482469766,-15.2074960847907,-18.802068851794644,-6.822801642410096,-6.996599761168087,-16.95991300235377,-14.768243591770966,-13.380953228170844,-6.867842536495126,-5.801666328562009,-13.414316176502778,-13.570499229675928,-12.877659419924436,-5.964773528364627,-6.417537153224144,-16.664183682599536,-10.482060834761432,-15.389755809803674,-5.795834701300106,-5.250413242826245,-14.391578349913658,-12.40579396029612,-12.074130733103747,-5.078126843068845,-5.309185206355642,-13.595486270808145,-13.360741810865525,-8.976838815860155,-4.551117110738755,-5.287068068034793,-17.322233435143907,-11.75174339705693,-9.44387127798514
-17.60875349768891,-17.442885607993002,-16.88494148152991,-18.317836203388968,-17.73960463601768,-14.904441804190153,-14.339403229238053,-15.343556122405634,-14.190815129513117,-14.367005678528805,-12.992969449459235,-13.09442199381281,-12.906685834295335,-12.361695216694434,-12.337482213559294,-11.090484933220763,-10.820360419773966,-11.457169127876389,-10.875492247006864,-11.087724388997492,-9.857091456057486,-9.51175242290634,-10.757331164716375,-9.339611546233705,-26.777371163714324,-8.80397340856629,-8.979890862075196,-8.907916252473148,-9.475981243103798,-17.0855033381252,-7.328118255192513,-8.07961155634146,-7.95122549519217,-18.199620726611975,-20.12798672173996,-6.615830574994116,-6.476280236856504,-6.982678318706769,-21.72491820632565,-18.19618112091131,-6.915868093006811,-7.3790571179075535,-6.616255387010616,-19.005704853633034,-23.675184956103156,-6.458504795128798,-6.623050870780467,-21.636572667835463,-18.660534069199752,-16.424286732670534,-6.500940551771834,-5.492620042065988,-16.875108189220068,-17.012715847082614,-16.081821019549576,-5.646460083266278,-6.0736529178153855,-21.804109280701166,-12.921525961791891,-19.73352084141798,-5.486078319359783,-4.971373220074362,-18.620135009628665,-15.537913046492264,-14.829231031681832,-4.8072129920102045,-5.026657568050686,-17.49357946042576,-17.20745725969189,-10.716138360003233,-4.308157737056483,-5.005687084688594,-23.071876805210746,-14.939500957943348,-11.621400367765636
-16.616390559512233,-22.586643841155226,-15.933638535629948,-17.285095894136088,-16.735648281500655,-14.36460911401265,-13.531749835806338,-14.479444671415683,-13.3931047498022,-13.557332633984023,-12.262342327223752,-12.357998998742431,-12.180035314461179,-11.662546284311922,-11.645563612191282,-10.467587841993765,-10.211490118960882,-10.811540946883609,-10.260206841294627,-10.669325080451738,-9.304072788972336,-8.978200850800603,-10.157103938160658,-8.819969463316813,-31.58828096605794,-13.03525086571624,-8.479872941157408,-8.412161497784236,-8.947115215079988,-19.630165898517788,-6.918646607492724,-7.625937244202939,-7.507235542203825,-21.393554832900854,-23.8261061729903,-6.246388705388427,-6.114880711309332,-6.594016480236639,-26.119359220688985,-21.53928092851106,-6.530070926698277,-6.967418138467145,-6.525037298238186,-22.832455135204768,-28.586469815800978,-6.099022131296283,-6.252338414300103,-26.310099801989615,-22.553932370458757,-19.47609327683035,-6.139723385609519,-5.186993070720623,-20.33844058622946,-20.45707353333566,-19.27631660769889,-5.333119303631871,-5.7365355783978655,-26.965347231308872,-15.367289809280322,-24.077749502238905,-5.181675235600695,-4.693942691009551,-22.870743159445936,-18.666628674485516,-17.590924187481736,-4.544892234028436,-4.750268919848252,-21.406434301924207,-21.081661743333235,-12.467618318844046,-4.071023061901994,-4.735299149087047,-28.840077712293297,-18.133868857774743,-13.811126876140538
-15.645794087145743,-15.502301230855421,-14.993397444011295,-16.268403668641447,-15.74837739458147,-13.614213547949596,-12.732152310932285,-13.632473879067014,-12.602348908665336,-12.76085303491709,-13.074088823579599,-26.173891570255247,-11.467770599926368,-10.978961398050323,-10.960563268440382,-9.86631304671492,-24.955024716143633,-10.178119285956251,-9.65970142250265,-9.854669230005957,-8.77589611469808,-8.459494775124625,-9.568548113807967,-8.303851593000646,-36.4160372856642,-13.730880951999481,-7.989695842443338,-7.924385974412145,-8.42921239253236,-22.202885379193027,-6.532214834637263,-7.188023552107566,-7.08949386416506,-24.641583201214598,-27.556242419893234,-5.908386438006338,-5.763194048513645,-6.213513292814845,-30.538661473664853,-24.88627407946687,-18.07632879182362,-6.5689018655449765,-5.888353436411437,-26.671121807585937,-33.52513593889353,-19.397930364670536,-5.8978308849836605,-31.020006700138822,-26.464005501004372,-22.54142702471154,-21.700886069983362,-4.892948199194582,-23.825911699253854,-23.923985507063364,-22.502484189720533,-20.052960386544324,-5.414097352268146,-32.15662491268755,-17.82243189109702,-28.446859877984927,-21.184022777373567,-4.428338205123875,-27.143615518153076,-21.824014624598593,-20.37667954271295,-4.288607868189432,-4.4790906023484585,-25.33902295214626,-24.96199799905483,-14.239057251419135,-3.84608725644046,-4.465807704627288,-34.65000542357497,-21.35731936667881,-16.022526219401517
-14.749478786982088,-14.620183801071951,-35.671059128736985,-15.33320260412573,-14.83328910204115,-12.509530810341152,-12.080946401094641,-35.882576197354176,-11.887730697402727,-12.251485667379638,-10.926355516933427,-11.083937667378613,-10.768259395529165,-10.375775278184832,-10.350776241637353,-9.344457215024184,-9.197640169721117,-9.641805227910515,-9.15445392212337,-9.643917685450237,-8.320273009562799,-8.015155846785014,-9.048869136913103,-7.861890376745068,-41.26995906218098,-7.453058564583067,-7.579008232013053,-7.50656108983542,-8.469238268447146,-24.78637670095818,-6.215838580419899,-30.2199517165534,-6.719197050185668,-27.87445771774089,-31.294198255860074,-5.637398035231262,-24.908337986329453,-5.911682556096821,-34.96770006797921,-28.26101478296668,-5.915445357406,-6.256703063861114,-6.024050458065694,-30.552360823730254,-38.48659869597185,-5.564765796289254,-5.6161863537464365,-35.75748780273267,-30.410656018828906,-25.634616542145544,-5.629728441665959,-4.667401080599224,-27.337509588286963,-27.39852363389891,-25.751488725777598,-4.909153451346875,-5.163411443649231,-37.35703673312971,-20.309311443362787,-32.88370875090179,-4.788792965056797,-4.236528050837914,-31.41203252309373,-25.020911819820128,-23.195836618632725,-4.118279815508433,-4.305816869758164,-29.284553806262192,-28.88151786747094,-16.044362591322255,-3.6950354584478786,-4.271437865790597,-40.44640510832743,-24.620183738491626,-18.27094910217652
-14.157431157206423,-14.03457602265902,-13.667252613513346,-15.11888446495689,-14.752647747450796,-12.07738089676176,-11.628243539626425,-12.539669559004802,-11.83950250184954,-11.87103214950957,-10.610723844092448,-10.705677658216157,-10.681304297984669,-10.7783759278525,-10.82088840014073,-9.12742377637996,-8.914983487322651,-9.452304601277163,-8.960564313084635,-9.484893235545496,-8.176332304120795,-8.086939149018518,-9.361977859088034,-8.501724831528842,-46.15029019281672,-7.3562667645289865,-7.790865314504128,-8.046583994388467,-8.464243512678259,-27.432865844210717,-6.16828921470858,-7.0278215128670425,-7.68683407620954,-6.597709375660254,-35.117109760515795,-5.609238588517353,-5.646772484447638,-6.895859709731815,-39.43808928920148,-31.685608493987875,-5.9091717864916244,-6.90534022979743,-6.128067803847039,-34.47704169953272,-43.559787131285276,-5.560172697447771,-6.219248056926593,-40.544299731934224,-34.398102480211314,-28.795995558109446,-5.637249798758591,-5.24593815959247,-30.870135597742944,-30.927711588065094,-29.055607552658383,-4.932018273438967,-5.678398686792433,-42.61316808054787,-22.866914836996884,-37.42349896414536,-4.824809874339823,-5.300632300764662,-35.73272490558819,-28.258180061308007,-26.056024349125273,-4.268671344048692,-4.455977164614702,-33.316105286419955,-32.86062043262936,-17.914067141335387,-4.119577254392532,-5.1496370400998,-46.38385007836694,-27.94302641689406,-20.58931345430571
-14.77219012314345,-14.66162929700838,-14.211346197423861,-15.444970302475634,-15.029787191463699,-12.870363626801472,-12.40433797959902,-13.300910986031504,-12.324352651582158,-12.499300767910418,-11.538348160989356,-11.656129161568433,-11.513691632712202,-11.420505315435356,-11.66017409852762,-10.121572450595648,-9.895059669484425,-11.097689326937445,-10.969728168503467,-10.402454806134479,-9.238497109809574,-8.939871113994183,-10.176785867769714,-9.41722351075526,-51.27488389394295,-8.466684743389463,-8.663661145562251,-8.917425818803421,-9.527032504236768,-30.2430848225335,-7.224893779892983,-7.992097309550913,-8.71814234992664,-7.618161742667497,-39.14666333965861,-6.684569587858144,-6.555538368508122,-7.93873322815018,-44.08007710962224,-35.28983471092904,-7.160910390852326,-7.856237853717693,-7.224147624458343,-38.64059567684458,-49.052201107399576,-6.846251608066344,-7.183051642755043,-45.539489470301554,-38.62962160909392,-32.1622737069639,-7.0514423577478595,-6.173639319869743,-6.380102545895756,-34.63988979238016,-32.5546146628596,-6.2606536784141715,-6.783226730059327,-48.07156303992461,-25.59914227072844,-42.39550928353709,-6.215759851860897,-6.455901829294695,-40.1945613369142,-31.726666375758253,-29.173491812404382,-5.577648334497482,-7.065115197814699,-37.56340868953275,-37.09661293013372,-19.986060749216417,-5.10268569545175,-6.447721085026759,-52.65154037731968,-31.62797473858527,-23.128421185398285
-19.674896583916265,-19.593596735663787,-19.03834878725214,-20.785011863157077,-20.245193534108008,-18.012626870809708,-17.42473976435375,-18.78716463353385,-17.491609790061123,-17.871840376252262,-16.8996074907006,-17.142626965183617,-17.039905459323688,-16.436275784092356,-16.562664156354693,-15.441915225578011,-15.181621178636703,-16.240883046368452,-15.598399248722282,-15.979511091247529,-14.623446096584935,-14.220722072914711,-16.2720106860071,-14.307699490944355,-57.259849810381155,-13.873879187348484,-14.282885162292995,-14.337165759406918,-15.443221243966155,-33.71879161544296,-12.216838012686663,-13.611103141469307,-13.631902825112826,-12.689771171958887,-44.05104742744486,-11.633170690168946,-11.512066678110742,-12.66887043603841,-49.46605120464282,-39.59615934363045,-12.804463554915104,-13.861742706264023,-12.590669289280095,-43.82690398661854,-56.21826878429349,-12.552355979624764,-13.062290094742632,-13.089630964771144,-43.76190939521174,-36.35941765357907,-13.243130427324942,-11.360782341988065,-11.625401572926174,-39.054204203977754,-37.397856849400526,-12.015612820407581,-13.131578719007047,-54.39462192080811,-29.065584404187106,-49.189361677560946,-12.18341845749352,-11.311873997061513,-45.328424426237056,-36.07266642157957,-33.557369604556506,-11.138374686414688,-12.1087443430243,-42.71938051071174,-42.429816272543405,-22.838601734775505,-10.372848795091624,-12.301185171871042,-60.35943602134131,-36.55716806942748,-26.582218788399967
-37.66953841541538,-38.05765607932083,-37.31158868166281,-41.314015356574835,-41.09655868231153,-36.47250710344506,-35.817450283547146,-39.48812200984649,-37.41627275734662,-39.608201018328685,-35.87621012008155,-37.127680828257986,-37.888801952143695,-37.021806148513846,-38.28377329961945,-34.108572975803924,-34.39970750494248,-37.18232254550267,-36.71495255261096,-39.669275386235796,-33.3911254952053,-33.22331086105145,-39.39040040230526,-35.51911786881911,-66.51674916242061,-32.73412148322432,-34.538346831043555,-35.91069752022155,-40.454107840237796,-39.78251149655693,-29.571084382282045,-34.04885953570784,-35.02896306392048,-44.671748039257594,-52.34297028424709,-28.776249335118955,-29.724942809173296,-33.50486901162801,-57.529050365257184,-48.445197175539995,-32.322965256503586,-36.32593667942988,-34.85550081439926,-52.81460057465529,-70.20611062260447,-32.2572762679472,-35.07690593694403,-60.918182865033614,-52.39652863654864,-45.18852718865253,-34.611175130956774,-31.107569216766272,-45.22222985181768,-47.7737417182528,-47.53276854129759,-31.934376542129154,-37.09175829445734,-64.19428866057312,-35.40975115110847,-63.39084022818561,-32.90389621222523,-31.877261782145958,-54.93820632394049,-44.13158652704344,-43.55796310994581,-30.06885554677721,-34.25622000866867,-51.50525486896727,-53.30398109840029,-45.85961687250997,-28.467449161200204,-36.34895961366174,-73.94777119662503,-46.471704563882305,-45.321230029558954
-89.2438256685925,-94.06146867522155,-94.55992153183784,-109.17078910709111,-116.07170544851331,-89.27855054492828,-91.73430183095513,-108.28435015277401,-108.70054166140302,-134.17827611172154,-90.4902547865265,-99.20743859950673,-111.03687023986052,-112.01982931537736,-129.68425617577822,-88.15675353745752,-95.99083454658732,-105.71404821806811,-114.9472618970004,-172.19657769841592,-87.79354820057041,-93.33823925213031,-124.44426871424768,-124.96091611973793,-186.25481136481596,-88.34664791269884,-100.16206106660418,-117.03390455853436,-168.87029883763302,-285.55408516679864,-81.10051249552814,-103.48314001468309,-116.17385592072145,-166.67371303649477,-306.3802357783148,-79.86788993733614,-94.74336665731836,-116.94050278354335,-183.33342888864487,-485.17489841098006,-90.832586773522,-113.65579509798863,-141.08424371158335,-222.27848580520782,-674.9351457545612,-91.59126778445415,-114.41951300974748,-152.833046661019,-289.70639223965594,-606.8295150731776,-99.33322803561363,-104.90273485744338,-169.10491025488045,-476.00280487074,-598.8100611188046,-93.10379849777384,-134.66676838585704,-160.38452138465726,-497.59699685381884,-702.3599170152507,-97.55837371891748,-109.14443943625645,-193.65827820446,-609.1443887215005,-635.3868356861366,-86.30357961431918,-119.10844684252673,-271.39578762300846,-628.762297785048,-519.2905063311397,-83.31720774475468,-140.12702053233,-243.77521684045965,-619.7408207926453,-523.9557568917609
