mod_5_0.002,mod_5_0.0045000000000000005,mod_5_0.007,mod_5_0.0095,mod_5_0.012,mod_6_0.002,mod_6_0.0045000000000000005,mod_6_0.007,mod_6_0.0095,mod_6_0.012,mod_7_0.002,mod_7_0.0045000000000000005,mod_7_0.007,mod_7_0.0095,mod_7_0.012,mod_8_0.002,mod_8_0.0045000000000000005,mod_8_0.007,mod_8_0.0095,mod_8_0.012,mod_9_0.002,mod_9_0.0045000000000000005,mod_9_0.007,mod_9_0.0095,mod_9_0.012,mod_10_0.002,mod_10_0.0045000000000000005,mod_10_0.007,mod_10_0.0095,mod_10_0.012,mod_11_0.002,mod_11_0.0045000000000000005,mod_11_0.007,mod_11_0.0095,mod_11_0.012,mod_12_0.002,mod_12_0.0045000000000000005,mod_12_0.007,mod_12_0.0095,mod_12_0.012,mod_13_0.002,mod_13_0.0045000000000000005,mod_13_0.007,mod_13_0.0095,mod_13_0.012,mod_14_0.002,mod_14_0.0045000000000000005,mod_14_0.007,mod_14_0.0095,mod_14_0.012,mod_15_0.002,mod_15_0.0045000000000000005,mod_15_0.007,mod_15_0.0095,mod_15_0.012,mod_16_0.002,mod_16_0.0045000000000000005,mod_16_0.007,mod_16_0.0095,mod_16_0.012,mod_17_0.002,mod_17_0.0045000000000000005,mod_17_0.007,mod_17_0.0095,mod_17_0.012,mod_18_0.002,mod_18_0.0045000000000000005,mod_18_0.007,mod_18_0.0095,mod_18_0.012,mod_19_0.002,mod_19_0.0045000000000000005,mod_19_0.007,mod_19_0.0095,mod_19_0.012
5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,16.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0
0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012,0.002,0.0045000000000000005,0.007,0.0095,0.012
